,baseSymbol,baseLastPrice,symbolType,strikePrice,expirationDate,daysToExpiration,bidPrice,midpoint,askPrice,lastPrice,volume,openInterest,volumeOpenInterestRatio,volatility,tradeTime,exportedAt,minPrice,maxPrice,finalPrice,firstPrice
0,FCX,14.11,Call,15.5,2020-08-21 00:00:00,16,0.18,0.19,0.19,0.18,24298,314,77.38,52.67,2020-08-05 14:49:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
1,FCX,14.11,Call,16.0,2020-08-21 00:00:00,16,0.11,0.12,0.13,0.12,14212,4613,3.08,54.77,2020-08-05 14:33:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
2,FCX,14.11,Put,14.0,2020-08-21 00:00:00,16,0.55,0.56,0.57,0.57,2618,1029,2.54,53.44,2020-08-05 14:46:00,2020-08-05 21:25:16,13.670000076293945,15.1899995803833,14.359999656677246,14.5600004196167
6,GPN,176.08,Put,160.0,2020-08-21 00:00:00,16,0.8,0.9,1.0,0.95,8009,143,56.01,39.77,2020-08-05 14:01:00,2020-08-05 21:25:16,166.35000610351562,177.5,168.17999267578125,176.5
8,TJX,53.27,Put,52.0,2020-08-21 00:00:00,16,1.4,1.48,1.55,1.6,3186,109,29.23,49.89,2020-08-05 14:08:00,2020-08-05 21:25:16,51.529998779296875,59.540000915527344,51.68000030517578,53.40999984741211
10,SQ,148.3,Call,180.0,2020-08-21 00:00:00,16,1.13,1.15,1.18,1.16,9079,430,21.11,74.1,2020-08-05 14:44:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
11,SQ,148.3,Put,140.0,2020-08-21 00:00:00,16,3.55,3.65,3.75,3.55,2162,280,7.72,54.62,2020-08-05 14:41:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
12,SQ,148.3,Put,145.0,2020-08-21 00:00:00,16,5.6,5.65,5.7,5.7,840,142,5.92,55.48,2020-08-05 14:44:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
13,SQ,148.3,Call,170.0,2020-08-21 00:00:00,16,1.77,1.8,1.83,1.93,1724,423,4.08,66.2,2020-08-05 14:54:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
14,SQ,148.3,Call,175.0,2020-08-21 00:00:00,16,1.37,1.39,1.41,1.46,930,318,2.92,68.54,2020-08-05 14:55:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
15,SQ,148.3,Call,200.0,2020-08-21 00:00:00,16,0.59,0.62,0.64,0.61,708,282,2.51,85.26,2020-08-05 14:45:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
16,SQ,148.3,Call,160.0,2020-08-21 00:00:00,16,3.25,3.3,3.35,3.3,4537,1833,2.48,59.87,2020-08-05 14:58:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
17,SQ,148.49,Call,155.0,2020-08-21 00:00:00,16,4.5,4.58,4.65,4.65,2931,1252,2.34,58.65,2020-08-05 14:58:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
18,SQ,148.49,Call,150.0,2020-08-21 00:00:00,16,6.4,6.48,6.55,6.4,4206,2999,1.4,57.07,2020-08-05 15:12:00,2020-08-05 21:25:16,135.02999877929688,159.47000122070312,155.10000610351562,154.0
28,SWN,2.92,Put,3.0,2020-08-21 00:00:00,16,0.21,0.22,0.23,0.21,6183,297,20.82,67.98,2020-08-05 13:12:00,2020-08-05 21:25:16,2.609999895095825,3.25,2.700000047683716,2.9000000953674316
30,ELY,19.92,Put,18.0,2020-08-21 00:00:00,16,0.6,0.68,0.75,0.65,2522,133,18.96,88.85,2020-08-05 14:49:00,2020-08-05 21:25:16,17.68000030517578,20.31999969482422,18.700000762939453,19.649999618530273
31,ELY,19.92,Put,20.0,2020-08-21 00:00:00,16,1.35,1.45,1.55,1.35,653,153,4.27,78.41,2020-08-05 14:40:00,2020-08-05 21:25:16,17.68000030517578,20.31999969482422,18.700000762939453,19.649999618530273
34,GSX,109.67,Put,105.0,2020-08-21 00:00:00,16,8.0,8.2,8.4,8.2,3253,201,16.18,117.5,2020-08-05 14:34:00,2020-08-05 21:25:16,84.11000061035156,141.77999877929688,90.26000213623047,131.27000427246094
35,GSX,109.67,Call,110.0,2020-08-21 00:00:00,16,9.8,9.95,10.1,10.0,2835,775,3.66,109.03,2020-08-05 14:51:00,2020-08-05 21:25:16,84.11000061035156,141.77999877929688,90.26000213623047,131.27000427246094
36,GSX,109.98,Put,90.0,2020-08-21 00:00:00,16,3.5,3.65,3.8,3.52,1127,849,1.33,128.34,2020-08-05 15:03:00,2020-08-05 21:25:16,84.11000061035156,141.77999877929688,90.26000213623047,131.27000427246094
40,JACK,83.35,Put,75.0,2020-08-21 00:00:00,16,0.5,0.95,1.4,1.15,2455,180,13.64,61.12,2020-08-05 14:38:00,2020-08-05 21:25:16,77.56999969482422,87.87000274658203,80.73999786376953,82.51000213623047
42,IQ,22.69,Put,21.0,2020-08-21 00:00:00,16,0.54,0.55,0.57,0.56,1904,141,13.5,68.4,2020-08-05 14:56:00,2020-08-05 21:25:16,18.200000762939453,23.045000076293945,19.020000457763672,22.920000076293945
44,TSM,82.0,Call,86.0,2020-08-21 00:00:00,16,1.58,1.61,1.64,1.63,1668,131,12.73,45.86,2020-08-05 14:46:00,2020-08-05 21:25:16,75.9800033569336,82.0999984741211,78.33999633789062,80.5199966430664
45,TSM,82.0,Call,87.0,2020-08-21 00:00:00,16,1.34,1.37,1.4,1.51,1766,145,12.18,48.5,2020-08-05 13:40:00,2020-08-05 21:25:16,75.9800033569336,82.0999984741211,78.33999633789062,80.5199966430664
46,TSM,82.0,Call,88.0,2020-08-21 00:00:00,16,1.1,1.15,1.19,1.18,1499,386,3.88,47.67,2020-08-05 14:52:00,2020-08-05 21:25:16,75.9800033569336,82.0999984741211,78.33999633789062,80.5199966430664
47,TSM,82.0,Call,90.0,2020-08-21 00:00:00,16,0.83,0.86,0.89,0.84,3124,873,3.58,48.56,2020-08-05 14:57:00,2020-08-05 21:25:16,75.9800033569336,82.0999984741211,78.33999633789062,80.5199966430664
48,TSM,81.79,Call,100.0,2020-08-21 00:00:00,16,0.24,0.25,0.25,0.25,726,551,1.32,58.9,2020-08-05 15:01:00,2020-08-05 21:25:16,75.9800033569336,82.0999984741211,78.33999633789062,80.5199966430664
54,LVGO,131.29,Call,160.0,2020-08-21 00:00:00,16,2.9,3.05,3.2,2.95,1484,122,12.16,102.81,2020-08-05 14:45:00,2020-08-05 21:25:16,111.3499984741211,138.2100067138672,137.6300048828125,134.35000610351562
55,LVGO,131.29,Call,150.0,2020-08-21 00:00:00,16,3.9,4.2,4.5,4.35,1975,640,3.09,100.18,2020-08-05 14:51:00,2020-08-05 21:25:16,111.3499984741211,138.2100067138672,137.6300048828125,134.35000610351562
58,MARA,4.17,Call,6.0,2020-08-21 00:00:00,16,0.55,0.6,0.65,0.6,1252,112,11.18,320.58,2020-08-05 14:44:00,2020-08-05 21:25:16,2.4600000381469727,5.25,2.7100000381469727,5.090000152587891
59,MARA,4.17,Call,4.0,2020-08-21 00:00:00,16,1.1,1.13,1.15,1.1,1555,626,2.48,299.54,2020-08-05 14:56:00,2020-08-05 21:25:16,2.4600000381469727,5.25,2.7100000381469727,5.090000152587891
62,BYND,131.43,Put,117.0,2020-08-21 00:00:00,16,1.64,1.68,1.72,1.66,2010,184,10.92,63.17,2020-08-05 14:42:00,2020-08-05 21:25:16,121.35399627685547,136.22999572753906,126.0,132.5800018310547
64,NEM,70.56,Call,72.0,2020-08-21 00:00:00,16,1.94,1.97,2.01,1.77,1005,109,9.22,40.37,2020-08-05 13:43:00,2020-08-05 21:25:16,62.650001525878906,71.33999633789062,65.56999969482422,70.11000061035156
66,MOMO,20.0,Call,21.0,2020-08-21 00:00:00,16,0.76,0.77,0.78,0.75,14292,1674,8.54,69.44,2020-08-05 14:44:00,2020-08-05 21:25:16,19.5,22.045000076293945,20.600000381469727,20.479999542236328
68,LULU,339.19,Call,400.0,2020-08-28 00:00:00,23,0.92,0.97,1.01,0.82,860,103,8.35,40.3,2020-08-05 14:34:00,2020-08-05 21:25:16,334.1199951171875,384.04998779296875,377.4800109863281,339.17999267578125
70,NEWR,55.49,Put,50.0,2020-08-21 00:00:00,16,0.8,0.9,1.0,0.91,977,121,8.07,65.13,2020-08-05 14:39:00,2020-08-05 21:25:16,52.130001068115234,60.68000030517578,60.119998931884766,55.15999984741211
72,GME,4.55,Call,5.5,2020-08-28 00:00:00,23,0.22,0.25,0.28,0.25,1411,176,8.02,118.92,2020-08-05 13:54:00,2020-08-05 21:25:16,4.059999942779541,5.599999904632568,5.389999866485596,4.429999828338623
